  id   |      username       |  money  | totalstockvalue | profit | r2_d2 | aden_skirata | lesser_stormtrooper | ysanne_isard | victorie_talik | eleventh_brother | darth_vader | chewbacca | sergeant_kreel | pt_1178 | unknown_valtorax_character | third_brother | second_sister | fixer | thirteenth_brother | dexter_jettster | cyan | grand_admiral_piett | unknown_stemmedaxis06_character | fifth_brother | maze | rav_bralor | epsilon | zeb | agent66 | wedge_antilles | cipher9 | thrawn | corran_horn | agent_kallus | sixth_sister | chopper | han_solo | ackbar | grand_inquisitor | rex | boba_fett | sabe_nabierre | luke_skywalker | c3po | airen_cracken | strzalk | ninth_sister | ig_88b | garrick_versio | axis | gideon | fenn_shysa | boss | sabine_wren | mara_jade | alpha_17 | omega | kal_skirata | gallius_rex | twelfth_brother | eli_vanto | saw_garrera | wolffe | lando_calrissian | evaarla_mereel | kyle_katarn | carnor_jax | mission_vao | x2 | seventh_sister | jan_ors | scorch | lumiya | rahm_kota | pellaeon | leia_organa | tempprofit | ghos_gin | janitor 
 14445 | derredpig           |    1.00 |         1000.00 |   0.00 |     0 |            9 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             1 |             0 |     0 |                  1 |               0 |    0 |                   0 |                               1 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |      10
 14433 | Waxwing.exe         |    0.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                125 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14441 | sights              |    2.00 |         1000.00 |   0.00 |     0 |            0 |                   8 |            0 |              0 |                0 |           0 |         0 |              0 |       4 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   4 |                               0 |             0 |    0 |          0 |       0 |   0 |       7 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              2 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      3 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14438 | jammywins           |   34.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |          21 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14437 | fraskywalker        |    0.00 |         1000.00 |   0.00 |     0 |            0 |                   5 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |      28
 14440 | rahmkotainshallah   |  802.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      1 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              1 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         1 |        0 |           0 |       0.00 |        0 |       0
 14442 | Future              |    0.00 |         1000.00 |   0.00 |     0 |            0 |                   5 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |      12 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |          10 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14444 | Valtorax            |    2.00 |         1000.00 |   0.00 |     0 |            0 |                  15 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                         14 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               3 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      4 |         0 |        0 |           0 |       0.00 |        0 |       0
 14446 | Ferrasi777          |  110.00 |         1000.00 |   0.00 |     0 |            0 |                   2 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |  10 |         0 |             0 |              2 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         1 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      1 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14427 | echo                |    0.00 |         1000.00 |   0.00 |     0 |            0 |                 250 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14447 | TheBlueMan          |    0.00 |         1000.00 |   0.00 |     0 |            0 |                 250 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14448 | TheGhos             |   16.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             5 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |   17 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      1 |         0 |        0 |           0 |       0.00 |        0 |       0
 14449 | Chad Thundercock    | 1000.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       0
 14451 | Jam7472             |    3.00 |         1000.00 |   0.00 |     0 |            0 |                   5 |            0 |              0 |                0 |           1 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  3 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        1 |      0 |                0 |   0 |         3 |             0 |              1 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          2 |    1 |           0 |         0 |        0 |     1 |           1 |           0 |               0 |         0 |           0 |      0 |                0 |              5 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |       1
 14455 | bigbrain__times     |    1.00 |         1000.00 |   0.00 |     1 |            0 |                   0 |            1 |              0 |                0 |           1 |         0 |              0 |       0 |                          0 |             0 |             0 |     1 |                  1 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         1 |             0 |              2 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           1 |          0 |           1 | 10 |              0 |       0 |      0 |      0 |         1 |        0 |           0 |       0.00 |        0 |       0
 14454 | twelve              |   20.00 |         1000.00 |   0.00 |     0 |            0 |                   0 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  0 |               0 |    0 |                   0 |                               0 |             0 |    0 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           0 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |      28
 14453 | Torrential_Downpour |    3.00 |         1000.00 |   0.00 |     0 |            0 |                  50 |            0 |              0 |                0 |           0 |         0 |              0 |       0 |                          0 |             0 |             0 |     0 |                  1 |               0 |    0 |                   0 |                               0 |             0 |    3 |          0 |       0 |   0 |       0 |              0 |       0 |      0 |           0 |            0 |            0 |       0 |        0 |      0 |                0 |   0 |         0 |             0 |              0 |    0 |             0 |       0 |            0 |      0 |              0 |    0 |      0 |          0 |    0 |           0 |         0 |        0 |     0 |           6 |           0 |               0 |         0 |           0 |      0 |                0 |              0 |           0 |          0 |           0 |  0 |              0 |       0 |      0 |      0 |         0 |        0 |           0 |       0.00 |        0 |      15
(26 rows)

